entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-delhi-eci1,delhi,2020,NERELA,253982,165694,65.24,SHARAD KUMAR,parties.IN.UNK,,86262,52.06,NEEL DAMAN KHATRI,parties.IN.UNK,,68833,17429,10.52,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2020,SULTANPUR MAJRA,175622,112125,63.84,Mukesh Kumar Ahlawat,parties.IN.UNK,,74573,66.51,Ram Chander Chawriya,parties.IN.UNK,,26521,48052,42.86,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2020,NANGLOI JAT,266339,151272,56.8,RAGHUVINDER SHOKEEN,parties.IN.UNK,,74444,49.21,SUMAN LATA,parties.IN.UNK,,62820,11624,7.68,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci12,delhi,2020,MANGOL PURI,190728,126685,66.42,RAKHI BIRLA,parties.IN.UNK,,74154,58.53,KARAM SINGH KARMA,parties.IN.UNK,,44038,30116,23.77,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci13,delhi,2020,ROHINI,183092,115840,63.27,VIJENDER GUPTA,parties.IN.UNK,,62174,53.67,RAJESH NAMA BANSIWALA,parties.IN.UNK,,49526,12648,10.92,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci14,delhi,2020,SHALIMAR BAGH,189373,116803,61.68,BANDANA KUMARI,parties.IN.UNK,,57707,49.41,REKHA GUPTA,parties.IN.UNK,,54267,3440,2.95,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci15,delhi,2020,SHAKUR BASTI,146226,99165,67.82,SATYENDAR JAIN,parties.IN.UNK,,51165,51.6,DR. S. C. VATS,parties.IN.UNK,,43573,7592,7.66,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci16,delhi,2020,TRI NAGAR,167978,111697,66.5,PREETI TOMAR,parties.IN.UNK,,58504,52.38,TILAK RAM GUPTA,parties.IN.UNK,,47794,10710,9.59,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci17,delhi,2020,WAZIRPUR,181241,108911,60.09,RAJESH GUPTA,parties.IN.UNK,,57331,52.64,DR. MAHENDER NAGPAL,parties.IN.UNK,,45641,11690,10.73,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci18,delhi,2020,MODEL TOWN,168355,100163,59.5,AKHILESH PATI TRIPATHI,parties.IN.UNK,,52665,52.58,KAPIL MISHRA,parties.IN.UNK,,41532,11133,11.12,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci19,delhi,2020,SADAR BAZAR,184903,123478,66.78,SOM DUTT,parties.IN.UNK,,68790,55.71,JAI PARKASH (J.P),parties.IN.UNK,,43146,25644,20.77,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2020,BURARI,361703,222256,61.45,SANJEEV JHA,parties.IN.UNK,,139598,62.81,SHAILENDRA KUMAR,parties.IN.UNK,,51440,88158,39.67,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci20,delhi,2020,CHANDNI CHOWK,125717,77199,61.41,PARLAD SINGH SAWHNEY,parties.IN.UNK,,50891,65.92,SUMAN KUMAR GUPTA,parties.IN.UNK,,21307,29584,38.32,src-1b7bc1c9d39a
