entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-assam-1721,assam,2016,BAITHALANGSO,180293,131296,72.82,Dr. Mansing Rongpi,,72160,54.96,Ruponsing Ronghang,,55560,16600,12.64,src-1b7bc1c9d39a
IN-AC-2008-assam-1722,assam,2016,BOKAJAN,129723,107156,82.6,NUMAL MOMIN,,40170,37.49,KLENGDOON ENGTI,,35426,4744,4.43,src-1b7bc1c9d39a
IN-AC-2008-assam-1723,assam,2016,DIPHU,172099,138262,80.34,SUM RONGHANG,,64421,46.59,BIDYA SING ENGLENG,,36185,28236,20.42,src-1b7bc1c9d39a
IN-AC-2008-assam-1724,assam,2016,HAFLONG,126413,102495,81.08,BIR BHADRA HAGJER,,52037,50.77,NIRMAL LANGTHASA,,43731,8306,8.1,src-1b7bc1c9d39a
IN-AC-2008-assam-1725,assam,2016,HOWRAGHAT,117288,98170,83.7,JOY RAM ENGLENG,,43378,44.19,KHORSING ENGTI,,36987,6391,6.51,src-1b7bc1c9d39a
IN-AC-2008-assam-1726,assam,2016,ABHAYAPURI NORTH,152197,136687,89.81,ABDUL HAI NAGORI,,48354,35.38,BHUPEN ROY,,46211,2143,1.57,src-1b7bc1c9d39a
IN-AC-2008-assam-1727,assam,2016,ABHAYAPURI SOUTH,174863,158529,90.66,ANANTA KUMAR MALO,,51525,32.5,CHANDAN KUMAR SARKAR,,51334,191,0.12,src-1b7bc1c9d39a
IN-AC-2008-assam-1728,assam,2016,BAGHBAR,144982,127374,87.86,SHERMAN ALI AHMED,,73340,57.58,SHEIKH ABDUL HAMID,,29907,43433,34.1,src-1b7bc1c9d39a
IN-AC-2008-assam-1729,assam,2016,BARPETA,181385,163152,89.95,GUNINDRA NATH DAS,,63563,38.96,A.RAHIM AHMED,,57753,5810,3.56,src-1b7bc1c9d39a
IN-AC-2008-assam-1730,assam,2016,BONGAIGAON,159836,137947,86.31,PHANI BHUSAN CHOUDHURY,,77292,56.03,SHANKAR PRASAD RAY,,45972,31320,22.7,src-1b7bc1c9d39a
IN-AC-2008-assam-1731,assam,2016,CHENGA,122662,109805,89.52,SUKUR ALI AHMED,,51882,47.25,MONOWARA KHATUN,,28525,23357,21.27,src-1b7bc1c9d39a
IN-AC-2008-assam-1732,assam,2016,DHARMAPUR,130098,110944,85.28,CHANDRA MOHAN PATOWARY,,70503,63.55,NILAMANI SEN DEKA,,36560,33943,30.6,src-1b7bc1c9d39a
IN-AC-2008-assam-1733,assam,2016,JANIA,173735,154131,88.72,ABDUL KHALEQUE,,86930,56.4,RAFIQUL ISLAM,,57194,29736,19.29,src-1b7bc1c9d39a
IN-AC-2008-assam-1734,assam,2016,SARUKHETRI,175332,155492,88.68,JAKIR HUSSAIN SIKDAR,,70062,45.06,CHITTARANJAN BARMAN,,45815,24247,15.6,src-1b7bc1c9d39a
IN-AC-2008-assam-1735,assam,2016,SORBHOG,196558,169347,86.16,RANJEET KUMAR DASS,,56454,33.34,ANURUPA HANNAN,,36928,19526,11.53,src-1b7bc1c9d39a
