entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-kerala-3717,kerala,2021,ALAPPUZHA,207607,158446,76.32,P.P Chitharanjan,parties.IN.CPIM,CPM,73412,46.33,Dr.K.S Manoj,parties.IN.INC,INC,61768,11644,7.35,src-1b7bc1c9d39a
IN-AC-2008-kerala-3718,kerala,2021,AMBALAPUZHA,183232,137021,74.78,H.Salam,parties.IN.CPIM,CPM,61365,44.79,Adv.M.Liju,parties.IN.INC,INC,50240,11125,8.12,src-1b7bc1c9d39a
IN-AC-2008-kerala-3719,kerala,2021,AROOR,204539,164491,80.42,DALEEMA,parties.IN.CPIM,CPM,75617,45.97,Adv. SHANIMOL OSMAN,parties.IN.INC,INC,68604,7013,4.26,src-1b7bc1c9d39a
IN-AC-2008-kerala-3720,kerala,2021,CHERTHALA,220580,178097,80.74,P PRASAD,parties.IN.CPI,CPI,83702,47,ADV.S SARATH,parties.IN.INC,INC,77554,6148,3.45,src-1b7bc1c9d39a
IN-AC-2008-kerala-3721,kerala,2021,HARIPAD,202804,150623,74.27,RAMESH CHENNITHALA,parties.IN.INC,INC,72768,48.31,Adv. R. SAJILAL,parties.IN.CPI,CPI,59102,13666,9.07,src-1b7bc1c9d39a
IN-AC-2008-kerala-3722,kerala,2021,KARUNAGAPPALLY,220015,173284,78.76,C. R Mahesh,parties.IN.INC,INC,94225,54.38,R. Ramachandran,parties.IN.CPI,CPI,65017,29208,16.86,src-1b7bc1c9d39a
IN-AC-2008-kerala-3723,kerala,2021,KAYAMKULAM,219815,161257,73.36,Adv. U. Prathibha,parties.IN.CPIM,CPM,77348,47.97,Aritha Babu,parties.IN.INC,INC,71050,6298,3.91,src-1b7bc1c9d39a
IN-AC-2008-kerala-3724,kerala,2021,ALATHUR,174530,135366,77.56,K.D.PRASENAN,parties.IN.CPIM,CPM,74653,55.15,PALAYAM PRADEEP,parties.IN.INC,INC,40535,34118,25.21,src-1b7bc1c9d39a
IN-AC-2008-kerala-3725,kerala,2021,CHELAKKARA,201703,153315,76.01,K RADHAKRISHNAN,parties.IN.CPIM,CPM,83415,54.41,C C SREEKUMAR,parties.IN.INC,INC,44015,39400,25.7,src-1b7bc1c9d39a
IN-AC-2008-kerala-3726,kerala,2021,CHITTUR,193183,152905,79.15,K. KRISHNANKUTTY,parties.IN.JDS,JD(S),84672,55.38,Adv. SUMESH ACHUTHAN,parties.IN.INC,INC,50794,33878,22.16,src-1b7bc1c9d39a
