entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-kerala-3717,kerala,2021,ALAPPUZHA,207607,158446,76.32,P.P Chitharanjan,,73412,46.33,Dr.K.S Manoj,,61768,11644,7.35,src-1b7bc1c9d39a
IN-AC-2008-kerala-3718,kerala,2021,AMBALAPUZHA,183232,137021,74.78,H.Salam,,61365,44.79,Adv.M.Liju,,50240,11125,8.12,src-1b7bc1c9d39a
IN-AC-2008-kerala-3719,kerala,2021,AROOR,204539,164491,80.42,DALEEMA,,75617,45.97,Adv. SHANIMOL OSMAN,,68604,7013,4.26,src-1b7bc1c9d39a
IN-AC-2008-kerala-3720,kerala,2021,CHERTHALA,220580,178097,80.74,P PRASAD,,83702,47,ADV.S SARATH,,77554,6148,3.45,src-1b7bc1c9d39a
IN-AC-2008-kerala-3721,kerala,2021,HARIPAD,202804,150623,74.27,RAMESH CHENNITHALA,,72768,48.31,Adv. R. SAJILAL,,59102,13666,9.07,src-1b7bc1c9d39a
IN-AC-2008-kerala-3722,kerala,2021,KARUNAGAPPALLY,220015,173284,78.76,C. R Mahesh,,94225,54.38,R. Ramachandran,,65017,29208,16.86,src-1b7bc1c9d39a
IN-AC-2008-kerala-3723,kerala,2021,KAYAMKULAM,219815,161257,73.36,Adv. U. Prathibha,,77348,47.97,Aritha Babu,,71050,6298,3.91,src-1b7bc1c9d39a
IN-AC-2008-kerala-3724,kerala,2021,ALATHUR,174530,135366,77.56,K.D.PRASENAN,,74653,55.15,PALAYAM PRADEEP,,40535,34118,25.21,src-1b7bc1c9d39a
IN-AC-2008-kerala-3725,kerala,2021,CHELAKKARA,201703,153315,76.01,K RADHAKRISHNAN,,83415,54.41,C C SREEKUMAR,,44015,39400,25.7,src-1b7bc1c9d39a
IN-AC-2008-kerala-3726,kerala,2021,CHITTUR,193183,152905,79.15,K. KRISHNANKUTTY,,84672,55.38,Adv. SUMESH ACHUTHAN,,50794,33878,22.16,src-1b7bc1c9d39a
IN-AC-2008-kerala-3727,kerala,2021,KUNNAMKULAM,202578,154831,76.43,A.C.MOIDEEN,,75532,48.78,K.JAYASANKAR,,48901,26631,17.2,src-1b7bc1c9d39a
IN-AC-2008-kerala-3728,kerala,2021,NENMARA,197234,151535,76.83,K. Babu,,80145,52.89,C.N.Vijayakrishnan,,51441,28704,18.94,src-1b7bc1c9d39a
IN-AC-2008-kerala-3729,kerala,2021,TARUR,173052,131347,75.9,P.P.SUMOD,,67744,51.58,K.A.SHEEBA,,43213,24531,18.68,src-1b7bc1c9d39a
IN-AC-2008-kerala-3730,kerala,2021,WADAKKANCHERY,223031,169861,76.16,Xavier Chittilappilly,,81026,47.7,Anil Akkara,,65858,15168,8.93,src-1b7bc1c9d39a
IN-AC-2008-kerala-3731,kerala,2021,ARUVIKKARA,198837,145708,73.28,Adv. G. Steephen,,66776,45.83,K. S. Sabarinadhan,,61730,5046,3.46,src-1b7bc1c9d39a
IN-AC-2008-kerala-3732,kerala,2021,ATTINGAL,209279,147626,70.54,O S AMBIKA,,69898,47.35,ADV. P SUDHEER,,38262,31636,21.43,src-1b7bc1c9d39a
IN-AC-2008-kerala-3733,kerala,2021,CHIRAYINKEEZHU,204857,145080,70.82,V. Sasi,,62634,43.17,B. S. Anoop,,48617,14017,9.66,src-1b7bc1c9d39a
IN-AC-2008-kerala-3734,kerala,2021,KATTAKKADA,201632,145619,72.22,Adv I B SATHEESH,,66293,45.52,MALAYINKEEZHU VENUGOPAL,,43062,23231,15.95,src-1b7bc1c9d39a
