entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-madhya-pradesh-2459,madhya-pradesh,2008,BAIHAR,158052,118981,75.28,BHAGAT SINGH NETAM,parties.IN.BJP,BJP,37639,31.63,SANJAY UIKEY,parties.IN.INC,INC,32922,4717,3.96,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2460,madhya-pradesh,2008,BALAGHAT,160561,125546,78.19,GOURISHANKAR CHATURBHUJ BISEN,parties.IN.BJP,BJP,41344,32.93,ASHOK SINGH SARSWAR,parties.IN.INC,INC,29968,11376,9.06,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2461,madhya-pradesh,2008,BARGHAT,175725,135809,77.28,KAMAL MARSKOLE,parties.IN.BJP,BJP,61753,45.47,TIRATH SINGH BATTI,parties.IN.INC,INC,45943,15810,11.64,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2462,madhya-pradesh,2008,KATANGI,147954,121653,82.22,VISHWESHWAR BHAGAT,parties.IN.INC,INC,39583,32.54,K D DESHMUKH,parties.IN.BJP,BJP,37172,2411,1.98,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2463,madhya-pradesh,2008,LANJI,174479,136087,78,RAMESH DILEEP BHATERE,parties.IN.BJP,BJP,42461,31.2,PUSHPLATA LIKHIRAM KAVRE,parties.IN.INC,INC,34237,8224,6.04,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2464,madhya-pradesh,2008,PARASWADA,151368,123364,81.5,RAMKISHOR (NANO) KAWRE,parties.IN.BJP,BJP,36313,29.44,KANKAR MUNJARE,parties.IN.SHS,SHS,28247,8066,6.54,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2465,madhya-pradesh,2008,SEONI,185451,127670,68.84,NEETA PATERIYA,parties.IN.BJP,BJP,41928,32.84,DINESH RAI MUNMUN,parties.IN.IND,IND,29444,12484,9.78,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2466,madhya-pradesh,2008,WARASEONI,144600,122047,84.4,PRADEEP AMRITLAL JAISWAL (GUDDA),parties.IN.INC,INC,50984,41.77,BODH SINGH BHAGAT,parties.IN.BJP,BJP,35994,14990,12.28,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2467,madhya-pradesh,2008,AMLA,159598,101838,63.81,CHAITRAM MANEKAR,parties.IN.BJP,BJP,51858,50.92,KISHORE BARDE,parties.IN.INC,INC,21312,30546,29.99,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2468,madhya-pradesh,2008,BETUL,164741,120012,72.85,ALKESH ARYA,parties.IN.BJP,BJP,57957,48.29,VINOD DAGA,parties.IN.INC,INC,52566,5391,4.49,src-1b7bc1c9d39a
