entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,KAFIL UR REHMAN,,4110,19.15,1,won,U,53,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,AB REHMAN BHADANA,,2962,13.8,2,forfeit,U,66,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,JAVID AHMAD MIRCHAL,,2911,13.57,3,forfeit,U,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,ALI ASGAR KHAN,,2642,12.31,4,forfeit,U,69,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,RAJA MANZOOR AHMAD KHAN,,2616,12.19,5,forfeit,U,53,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,SYED YASIN SHAH,,2245,10.46,6,forfeit,U,60,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,MOHD ABASS,,1708,7.96,7,forfeit,U,57,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,MOHD NASEEM,,770,3.59,8,forfeit,U,48,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,ZIYAFAT LONE,,484,2.26,9,forfeit,U,28,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,SHAHNAZ AHMAD,,295,1.37,10,forfeit,U,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,TAJA PARVEEN,,226,1.05,11,forfeit,U,67,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,JEHANGIR KHAN,,182,0.85,12,forfeit,U,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,LAL DIN PLOUT,,174,0.81,13,forfeit,U,45,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,1,KARNAH,SAIYDA BAGUM,,133,0.62,14,forfeit,U,38,Illiterate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-23,jammu-and-kashmir,2008,2,KUPWARA,MIR SAIFULLAH,,16696,30.07,1,won,U,48,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-23,jammu-and-kashmir,2008,2,KUPWARA,FAYAZ AHMAD MIR,,11514,20.74,2,lost,U,31,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-23,jammu-and-kashmir,2008,2,KUPWARA,SHABNAM GANI LONE,,11050,19.9,3,lost,U,44,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-23,jammu-and-kashmir,2008,2,KUPWARA,ABDUL MAJEED KHAN,,2673,4.81,4,forfeit,U,58,8th Pass,,challenger,src-1b7bc1c9d39a
