entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-jammu-and-kashmir-1,jammu-and-kashmir,2008,ANANTNAG,76410,31499,41.22,MUFTI MOHAMMAD SAYEED,parties.IN.JKPDP,12439,39.49,MIRZA MEHBOOB BEIGH,,7548,4891,15.53,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-10,jammu-and-kashmir,2008,PAMPORE,69488,30178,43.43,ZAHOOR AHMAD,parties.IN.JKPDP,11117,36.84,MOHD ANWAR BHAT,parties.IN.INC,5969,5148,17.06,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-11,jammu-and-kashmir,2008,PULWAMA,71466,29188,40.84,MOHD KHALIL BANDH,parties.IN.JKPDP,10639,36.45,SONAULLAH DAR,parties.IN.IND,4003,6636,22.74,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-12,jammu-and-kashmir,2008,RAJPORA,80044,40508,50.61,SYED BASHIR AHMAD SHAH,parties.IN.JKPDP,10177,25.12,GULAM MOHI-UD-DIN MIR,parties.IN.IND,9230,947,2.33,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-13,jammu-and-kashmir,2008,SHANGUS,71429,49495,69.29,PEERZADA MANSOOR HUSSAIN,parties.IN.JKPDP,13853,27.99,GULZAR AHMAD WANI,parties.IN.INC,12423,1430,2.89,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-14,jammu-and-kashmir,2008,SHOPIAN,71517,37704,52.72,ABDUL RAZAQ WAGAY,parties.IN.JKPDP,8006,21.23,MOHD. SHAFI,parties.IN.INC,5208,2798,7.42,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-15,jammu-and-kashmir,2008,TRAL,74992,36510,48.69,MUSHTAQ AHMAD SHAH,parties.IN.JKPDP,10393,28.47,MOHD ASHRAF BHAT,,6586,3807,10.43,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-16,jammu-and-kashmir,2008,WACHI,69518,33749,48.55,MEHBOOBA MUFTI,parties.IN.JKPDP,12810,37.96,SHOWKAT HUSSAIN GANIE,,4474,8336,24.7,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-17,jammu-and-kashmir,2008,BANDIPORA,87596,49997,57.08,NIZAMUDDIN BHAT,parties.IN.JKPDP,13051,26.1,USMAN ABDUL MAJID,parties.IN.IND,12231,820,1.64,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-18,jammu-and-kashmir,2008,BARAMULLA,73112,24355,33.31,MUZAFFAR HUSSAIN BAIG,parties.IN.JKPDP,13019,53.46,NAZIR HUSSAIN KHAN,,7621,5398,22.17,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-19,jammu-and-kashmir,2008,GULMARG,82935,49592,59.8,GH HASSAN MIR,,18253,36.81,SHEIKH MUSHTAFA KAMAL,,11812,6441,12.99,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-2,jammu-and-kashmir,2008,BIJBEHARA,76954,46752,60.75,ABDUL REHMAN BHAT,parties.IN.JKPDP,23320,49.88,BASHIR AHMAD SHAH,,13046,10274,21.98,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-20,jammu-and-kashmir,2008,GUREZ,15390,11392,74.02,NAZIR AHMAD KHAN,,5817,51.06,FAQEER AHMAD KHAN,parties.IN.INC,5085,732,6.42,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-21,jammu-and-kashmir,2008,HANDWARA,76316,57678,75.58,CHOWDARY MOHD RAMZAN,,27907,48.38,GH MOHI-UD-DIN SOFI,parties.IN.IND,16317,11590,20.09,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-22,jammu-and-kashmir,2008,KARNAH,26941,21458,79.65,KAFIL UR REHMAN,,4110,19.15,AB REHMAN BHADANA,,2962,1148,5.35,src-1b7bc1c9d39a
IN-AC-2008-jammu-and-kashmir-23,jammu-and-kashmir,2008,KUPWARA,88942,55525,62.43,MIR SAIFULLAH,,16696,30.07,FAYAZ AHMAD MIR,parties.IN.JKPDP,11514,5182,9.33,src-1b7bc1c9d39a
