entity_id,time,value,source_id
IN,2011,0.485,src-e0b2a084d204
IN,2012,4.69,src-e0b2a084d204
IN,2013,6.525,src-e0b2a084d204
IN,2014,4.71,src-e0b2a084d204
IN,2015,3.06,src-e0b2a084d204
IN,2016,0.45,src-e0b2a084d204
IN,2017,0.3,src-e0b2a084d204
IN,2018,0.66,src-e0b2a084d204
IN,2019,0,src-e0b2a084d204
IN,2020,0.5,src-e0b2a084d204
IN,2021,0,src-e0b2a084d204
IN,2023,0,src-e0b2a084d204
IN,2024,0,src-e0b2a084d204
IN,2025,0,src-e0b2a084d204
IN,2026,6.5,src-e0b2a084d204
IN,2027,3.58,src-e0b2a084d204
IN,2028,8.52,src-e0b2a084d204
IN,2029,8.24,src-e0b2a084d204
IN,2030,7.06,src-e0b2a084d204
IN,2031,0.8,src-e0b2a084d204
