entity_id,time,value,source_id
IN,2005,8.86,src-170d3536d908
IN,2006,9.8,src-170d3536d908
IN,2007,10.67,src-170d3536d908
IN,2008,9.74,src-170d3536d908
IN,2009,9.19,src-170d3536d908
IN,2010,9.84,src-170d3536d908
IN,2011,11.24,src-170d3536d908
IN,2012,9.79,src-170d3536d908
IN,2013,11.61,src-170d3536d908
IN,2014,11.13,src-170d3536d908
IN,2015,10.45,src-170d3536d908
IN,2016,10.54,src-170d3536d908
IN,2017,10.86,src-170d3536d908
IN,2018,11.62,src-170d3536d908
IN,2019,13.43,src-170d3536d908
IN,2020,12.95,src-170d3536d908
IN,2021,13.07,src-170d3536d908
IN,2022,13.97,src-170d3536d908
IN,2023,11.55,src-170d3536d908
IN,2024,12.82,src-170d3536d908
