entity_id,time,value,source_id
andhra-pradesh,2015,16.01,src-7eb929cbf2d8
andhra-pradesh,2016,10.06,src-7eb929cbf2d8
andhra-pradesh,2017,18.28,src-7eb929cbf2d8
andhra-pradesh,2018,24.75,src-7eb929cbf2d8
andhra-pradesh,2019,21.22,src-7eb929cbf2d8
andhra-pradesh,2020,18.27,src-7eb929cbf2d8
andhra-pradesh,2021,19.88,src-7eb929cbf2d8
andhra-pradesh,2022,20.69,src-7eb929cbf2d8
andhra-pradesh,2023,24.02,src-7eb929cbf2d8
andhra-pradesh,2024,18.87,src-7eb929cbf2d8
andhra-pradesh,2025,23,src-7eb929cbf2d8
gujarat,2015,18.59,src-7eb929cbf2d8
gujarat,2016,16.5,src-7eb929cbf2d8
gujarat,2017,19.86,src-7eb929cbf2d8
gujarat,2018,21.67,src-7eb929cbf2d8
gujarat,2019,20.75,src-7eb929cbf2d8
gujarat,2020,17.41,src-7eb929cbf2d8
gujarat,2021,22.13,src-7eb929cbf2d8
gujarat,2022,21.97,src-7eb929cbf2d8
gujarat,2023,24.08,src-7eb929cbf2d8
gujarat,2024,22.91,src-7eb929cbf2d8
gujarat,2025,24.4,src-7eb929cbf2d8
karnataka,2015,19.04,src-7eb929cbf2d8
karnataka,2016,18.44,src-7eb929cbf2d8
karnataka,2017,18.36,src-7eb929cbf2d8
karnataka,2018,23.78,src-7eb929cbf2d8
karnataka,2019,24.12,src-7eb929cbf2d8
karnataka,2020,22.22,src-7eb929cbf2d8
karnataka,2021,21.12,src-7eb929cbf2d8
karnataka,2022,21.49,src-7eb929cbf2d8
karnataka,2023,20.71,src-7eb929cbf2d8
karnataka,2024,21.15,src-7eb929cbf2d8
karnataka,2025,24.05,src-7eb929cbf2d8
kerala,2015,13.47,src-7eb929cbf2d8
kerala,2016,16.09,src-7eb929cbf2d8
kerala,2017,21.41,src-7eb929cbf2d8
kerala,2018,23.47,src-7eb929cbf2d8
kerala,2019,21.82,src-7eb929cbf2d8
kerala,2020,23.82,src-7eb929cbf2d8
kerala,2021,24.92,src-7eb929cbf2d8
kerala,2022,32.75,src-7eb929cbf2d8
kerala,2023,38.46,src-7eb929cbf2d8
kerala,2024,19.2,src-7eb929cbf2d8
kerala,2025,20.79,src-7eb929cbf2d8
madhya-pradesh,2015,8.29,src-7eb929cbf2d8
madhya-pradesh,2016,16.28,src-7eb929cbf2d8
madhya-pradesh,2017,18.75,src-7eb929cbf2d8
madhya-pradesh,2018,21.87,src-7eb929cbf2d8
madhya-pradesh,2019,20,src-7eb929cbf2d8
madhya-pradesh,2020,17.73,src-7eb929cbf2d8
madhya-pradesh,2021,19.69,src-7eb929cbf2d8
madhya-pradesh,2022,18.01,src-7eb929cbf2d8
madhya-pradesh,2023,19.81,src-7eb929cbf2d8
madhya-pradesh,2024,16.84,src-7eb929cbf2d8
madhya-pradesh,2025,14.68,src-7eb929cbf2d8
maharashtra,2015,14.97,src-7eb929cbf2d8
maharashtra,2016,17.92,src-7eb929cbf2d8
maharashtra,2017,15.61,src-7eb929cbf2d8
maharashtra,2018,18.04,src-7eb929cbf2d8
maharashtra,2019,18.18,src-7eb929cbf2d8
maharashtra,2020,14.58,src-7eb929cbf2d8
maharashtra,2021,16.14,src-7eb929cbf2d8
maharashtra,2022,16.49,src-7eb929cbf2d8
maharashtra,2023,17.99,src-7eb929cbf2d8
maharashtra,2024,16.55,src-7eb929cbf2d8
maharashtra,2025,16.56,src-7eb929cbf2d8
rajasthan,2015,13.59,src-7eb929cbf2d8
rajasthan,2016,15.36,src-7eb929cbf2d8
rajasthan,2017,15.41,src-7eb929cbf2d8
rajasthan,2018,17,src-7eb929cbf2d8
rajasthan,2019,16.3,src-7eb929cbf2d8
rajasthan,2020,15.06,src-7eb929cbf2d8
rajasthan,2021,17.13,src-7eb929cbf2d8
rajasthan,2022,13.43,src-7eb929cbf2d8
rajasthan,2023,18.38,src-7eb929cbf2d8
rajasthan,2024,15.21,src-7eb929cbf2d8
rajasthan,2025,15.82,src-7eb929cbf2d8
tamil-nadu,2015,10.87,src-7eb929cbf2d8
tamil-nadu,2016,17.33,src-7eb929cbf2d8
tamil-nadu,2017,17.21,src-7eb929cbf2d8
tamil-nadu,2018,16.04,src-7eb929cbf2d8
tamil-nadu,2019,17.29,src-7eb929cbf2d8
tamil-nadu,2020,17.3,src-7eb929cbf2d8
tamil-nadu,2021,18.31,src-7eb929cbf2d8
tamil-nadu,2022,19.27,src-7eb929cbf2d8
tamil-nadu,2023,18.15,src-7eb929cbf2d8
tamil-nadu,2024,16.85,src-7eb929cbf2d8
tamil-nadu,2025,22.75,src-7eb929cbf2d8
telangana,2016,24,src-7eb929cbf2d8
telangana,2017,22.12,src-7eb929cbf2d8
telangana,2018,24.49,src-7eb929cbf2d8
telangana,2019,21.18,src-7eb929cbf2d8
telangana,2020,19.66,src-7eb929cbf2d8
telangana,2021,24.57,src-7eb929cbf2d8
telangana,2022,24.89,src-7eb929cbf2d8
telangana,2023,27.07,src-7eb929cbf2d8
telangana,2024,25.9,src-7eb929cbf2d8
telangana,2025,26.09,src-7eb929cbf2d8
