entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,KAVETI SAMMAIAH,parties.IN.BRS,TRS,47978,38.71,1,won,U,51,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,KONERU KONAPPA,parties.IN.INC,INC,40564,32.73,2,lost,U,54,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,GANAPURAM MURALIDHER,parties.IN.BJP,BJP,9755,7.87,3,forfeit,U,44,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,LENDUGURE MENGAJI PATEL,parties.IN.UNK,PRAP,8783,7.09,4,forfeit,U,59,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,DUBBULA VENKAIAH,parties.IN.IND,IND,8608,6.94,5,forfeit,U,29,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,BINGI SRINIVAS,parties.IN.UNK,PPOI,3366,2.72,6,forfeit,U,40,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,RAVINDAR NIKODE,parties.IN.BSP,BSP,3123,2.52,7,forfeit,U,43,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2009,1,SIRPUR,DUBBULA JANARDHAN,parties.IN.LSP,LSP,1770,1.43,8,forfeit,U,41,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,NALLALA ODELU,parties.IN.BRS,TRS,45012,39.98,1,won,U,45,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,G. VINOD,parties.IN.INC,INC,33463,29.72,2,lost,U,53,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,ANDUGULA SRINIVAS,parties.IN.UNK,PRAP,20902,18.57,3,lost,U,38,Others,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,ARUMULLA POSHAM,parties.IN.BJP,BJP,2843,2.53,4,forfeit,U,43,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,MEKALA SAROJA,parties.IN.LSP,LSP,2780,2.47,5,forfeit,U,36,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,VOLAPU SRINIVAS,parties.IN.IND,IND,2646,2.35,6,forfeit,U,40,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,PONNALA VINAY KUMAR,parties.IN.IND,IND,2103,1.87,7,forfeit,U,31,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,JADI YESAIAH,parties.IN.IND,IND,1953,1.73,8,forfeit,U,39,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci2,andhra-pradesh,2009,2,CHENNUR,JADI MALLAIAH,parties.IN.JDS,JD(S),877,0.78,9,forfeit,U,56,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci3,andhra-pradesh,2009,3,BELLAMPALLY,GUNDA MALLESH,parties.IN.CPI,CPI,41957,41.04,1,won,U,62,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci3,andhra-pradesh,2009,3,BELLAMPALLY,CHILUMULA SHANKAR,parties.IN.INC,INC,33065,32.34,2,lost,U,44,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci3,andhra-pradesh,2009,3,BELLAMPALLY,AMURAJULA SRIDEVI,parties.IN.UNK,PRAP,19040,18.62,3,lost,U,35,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci3,andhra-pradesh,2009,3,BELLAMPALLY,SAKINALA NARAYANA,parties.IN.IND,IND,2690,2.63,4,forfeit,U,39,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci3,andhra-pradesh,2009,3,BELLAMPALLY,PAGIDI VENKATI,parties.IN.IND,IND,2459,2.41,5,forfeit,U,45,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci3,andhra-pradesh,2009,3,BELLAMPALLY,RAVULA RAMAKRISHNA,parties.IN.IND,IND,1996,1.95,6,forfeit,U,34,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci3,andhra-pradesh,2009,3,BELLAMPALLY,BOLUMALLA ANJAIAH,parties.IN.IND,IND,1030,1.01,7,forfeit,U,64,Graduate,,challenger,src-1b7bc1c9d39a
