entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Anant Kumar Ojha,parties.IN.BJP,BJP,88904,42.26,1,won,U,46,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Md. Tajuddin,parties.IN.AJSUP,AJSUP,76532,36.38,2,lost,U,46,12th Pass,,crossover,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Ketabuddin Sekh,parties.IN.JMM,JMM,24619,11.7,3,forfeit,U,36,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Pradip Kumar Singh,parties.IN.BSP,BSP,3826,1.82,4,forfeit,U,43,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Gopal Chandra Mandal,parties.IN.IND,IND,2617,1.24,5,forfeit,U,53,Post Graduate,Author,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Nitya Nand Gupta,parties.IN.IND,IND,2614,1.24,6,forfeit,U,39,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Rajkishor Yadav,parties.IN.IND,IND,1421,0.68,7,forfeit,U,46,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Pranjit Kumar,parties.IN.IND,IND,1348,0.64,8,forfeit,U,52,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Ravindra Prasad Sah,parties.IN.IND,IND,901,0.43,9,forfeit,U,40,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,NASIMA KHANAM,parties.IN.AIMIM,AIMIM,862,0.41,10,forfeit,U,44,5th Pass,Household,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Nand Lal Sah,parties.IN.IND,IND,809,0.38,12,forfeit,U,50,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Col. Bhagwan Yadav,parties.IN.RPPRINAT,RPPRINAT,599,0.28,13,forfeit,U,64,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Rajkumar Yadav,parties.IN.JVM,JVM,594,0.28,14,forfeit,U,48,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Ajay Kuamr Das,parties.IN.IND,IND,577,0.27,15,forfeit,U,35,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Sheo Prasad Thakur,parties.IN.IND,IND,554,0.26,16,forfeit,U,77,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Ramsagar Singh,parties.IN.RJBP,RJBP,552,0.26,17,forfeit,U,52,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Sanjay Kumar Mandal(Bachu),parties.IN.LJP,LJP,520,0.25,18,forfeit,U,46,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Rameshwar Mandal,parties.IN.PPID,PPID,407,0.19,19,forfeit,U,62,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Sanjay Kr. Pandey,parties.IN.SHS,SHS,334,0.16,20,forfeit,U,54,12th Pass,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Binod Kumar Yadav,parties.IN.IND,IND,306,0.15,21,forfeit,U,41,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Saddam Hussain Advocate,parties.IN.IND,IND,262,0.12,22,forfeit,U,27,Graduate Professional,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Rajesh Mandal,parties.IN.IND,IND,220,0.1,23,forfeit,U,34,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2209,jharkhand,2019,1,RAJMAHAL,Md Nawab Sheakh,parties.IN.RKSP,RKSP,195,0.09,24,forfeit,U,47,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Lobin Hembrom,parties.IN.JMM,JMM,77365,47.4,1,won,U,68,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Surya Narayan Hansada,parties.IN.BJP,BJP,59441,36.42,2,lost,U,39,10th Pass,Self-employed,crossover,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Tala Marandi,parties.IN.AJSUP,AJSUP,8955,5.49,3,forfeit,U,58,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Sonaram Madaiya,parties.IN.CPI,CPI,2705,1.66,4,forfeit,U,57,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Lukas Hansda,parties.IN.JDU,JD(U),2181,1.34,6,forfeit,U,47,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Lakhan Pahadiya,parties.IN.BSP,BSP,1960,1.2,7,forfeit,U,30,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Manoj Tudu,parties.IN.PPID,PPID,1584,0.97,8,forfeit,U,34,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Tala Hansda,parties.IN.IND,IND,1435,0.88,9,forfeit,U,45,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Babu Ram Murmu,parties.IN.JVM,JVM,1355,0.83,10,forfeit,U,67,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Paulus Murmu,parties.IN.IND,IND,1208,0.74,11,forfeit,U,41,Graduate,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Goresti Soren,parties.IN.UNK,RTMP,1199,0.73,12,forfeit,U,30,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2205,jharkhand,2019,2,BORIO,Bipin Kisku,parties.IN.AITC,AITC,1157,0.71,13,forfeit,U,26,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2204,jharkhand,2019,3,BARHAIT,HEMANT SOREN,parties.IN.JMM,JMM,73725,53.49,1,won,U,42,12th Pass,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-jharkhand-2204,jharkhand,2019,3,BARHAIT,SIMON MALTO,parties.IN.BJP,BJP,47985,34.82,2,lost,U,50,10th Pass,,crossover,src-1b7bc1c9d39a
