entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,KIRAT SINGH,parties.IN.BJP,BJP,68300,30.41,1,won,M,52,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,NOOMAN MASOOD,parties.IN.INC,INC,62881,28,2,lost,M,49,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,INDER SAIN,parties.IN.SP,SP,57374,25.55,3,lost,M,53,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,MO. IRSHAD,parties.IN.BSP,BSP,32276,14.37,4,forfeit,M,60,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,NOTA,parties.IN.UNK,,730,0.33,5,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,JITENDRA KUMAR,parties.IN.NCP,NCP,695,0.31,6,forfeit,M,44,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,SOMPAL KASHYP,parties.IN.IND,IND,535,0.24,7,forfeit,M,50,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,MOHKAM SINGH,parties.IN.BMUP,Bahujan Mukti Party,470,0.21,8,forfeit,M,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,KAWAR PAL,parties.IN.IND,IND,418,0.19,9,forfeit,M,54,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,PRADEEP,parties.IN.IND,IND,385,0.17,10,forfeit,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,SAHDEV SINGH,parties.IN.IND,IND,358,0.16,11,forfeit,M,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-925,uttar-pradesh,2019,7,GANGOH,IRSHAD AHMED,parties.IN.IND,IND,161,0.07,12,forfeit,M,52,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1048,uttar-pradesh,2019,37,RAMPUR,Dr. Tazeen Fatma,parties.IN.SP,SP,79043,49.13,1,won,F,70,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1048,uttar-pradesh,2019,37,RAMPUR,Bharat Bhushan,parties.IN.BJP,BJP,71327,44.34,2,lost,M,53,,,challenger,src-1b7bc1c9d39a
