entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-uttarakhand-337,uttarakhand,2017,1,PUROLA,RAJKUMAR,,17798,35.93,1,won,U,51,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2017,1,PUROLA,MALCHAND,,16785,33.89,2,lost,U,50,10th Pass,Rent,incumbent,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2017,1,PUROLA,DURGESHWAR LAL,,13508,27.27,3,lost,U,32,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2017,1,PUROLA,RAMLAL,,679,1.37,5,forfeit,U,55,8th Pass,,crossover,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2017,2,YAMUNOTRI,KEDAR SINGH,,19800,42.03,1,won,U,57,Graduate Professional,,crossover,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2017,2,YAMUNOTRI,SANJAY DOBHAL,,13840,29.38,2,lost,U,44,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2017,2,YAMUNOTRI,PRAKASH CHAND RAMOLA,,7061,14.99,3,forfeit,U,46,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2017,2,YAMUNOTRI,RANVEER SINGH,,4613,9.79,4,forfeit,U,54,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2017,2,YAMUNOTRI,RAJBAHADUR SINGH BAUDDH,,530,1.13,5,forfeit,U,55,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2017,2,YAMUNOTRI,JAIPRAKASH,,342,0.73,7,forfeit,U,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2017,2,YAMUNOTRI,DHARMANAND BIJALWAN,,248,0.53,8,forfeit,U,51,,,challenger,src-1b7bc1c9d39a
